ch,name,cat,lang,status,reason,wifi_outcome,wifi_ttff_ms,wifi_code,wifi_phase,wifi_manifest_ms,wifi_segment_ms,wifi_adv_s,4g_outcome,4g_ttff_ms,4g_code,4g_phase,4g_manifest_ms,4g_segment_ms,4g_adv_s,3g_outcome,3g_ttff_ms,3g_code,3g_phase,3g_manifest_ms,3g_segment_ms,3g_adv_s,2g_outcome,2g_ttff_ms,2g_code,2g_phase,2g_manifest_ms,2g_segment_ms,2g_adv_s,host,variants,lowest_kbps,seg_kb,segdur_s,url
2,Dangal TV,Entertainment,Hindi,ok,Plays everywhere tested,ok,719,,frame,96,206,2.5,ok,7722,,frame,237,1419,2.5,ok,9097,,frame,249,3341,2.5,ok,10706,,frame,501,10404,2.5,live-dangal.akamaized.net,4,512,451,6.0,https://live-dangal.akamaized.net/liveabr/playlist.m3u8
3,Dangal 2,Entertainment,Hindi,heavy-2g,Fails only on 2g,ok,533,,frame,100,254,2.5,ok,7264,,frame,242,1436,2.5,ok,9123,,frame,239,3312,2.5,error,,timeout_frame,segment,518,,,live-dangal2.akamaized.net,4,512,456,6.0,https://live-dangal2.akamaized.net/liveabr/playlist.m3u8
5,Zee Comedy Nation,Entertainment,Hindi,heavy-2g,Fails only on 2g,ok,1303,,frame,296,785,2.5,ok,2104,,frame,420,2054,2.4,ok,7465,,frame,272,3690,2.4,error,,timeout_frame,segment,496,,,amg00862-amg00862c5-amgplt0173.playout.now3.amagi.tv,5,710,476,5.7,https://amg00862-amg00862c5-amgplt0173.playout.now3.amagi.tv/playlist/amg00862-amg00862c5-amgplt0173/playlist.m3u8
6,Zee Dil Se,Entertainment,Hindi,heavy-2g,Fails only on 2g,ok,1763,,frame,246,831,2.5,ok,1770,,frame,235,1663,2.5,ok,7771,,frame,237,3824,2.5,error,,timeout_frame,segment,508,,,amg00862-amg00862c6-amgplt0173.playout.now3.amagi.tv,5,710,513,5.7,https://amg00862-amg00862c6-amgplt0173.playout.now3.amagi.tv/playlist/amg00862-amg00862c6-amgplt0173/playlist.m3u8
7,Zee Horror Nights,Entertainment,Hindi,heavy-2g,Fails only on 2g,ok,1246,,frame,215,650,2.5,ok,1845,,frame,234,1801,2.4,ok,5683,,frame,242,2933,2.4,error,,timeout_frame,segment,521,,,amg00862-amg00862c7-amgplt0173.playout.now3.amagi.tv,5,710,478,6.0,https://amg00862-amg00862c7-amgplt0173.playout.now3.amagi.tv/playlist/amg00862-amg00862c7-amgplt0173/playlist.m3u8
8,Zee Cine Classic,Entertainment,Hindi,heavy-2g,Fails only on 2g,ok,1648,,frame,240,787,2.5,ok,6480,,frame,282,1854,2,ok,8008,,frame,239,3880,2.5,error,,timeout_frame,segment,506,,,amg00862-amg00862c8-amgplt0173.playout.now3.amagi.tv,5,710,499,6.0,https://amg00862-amg00862c8-amgplt0173.playout.now3.amagi.tv/playlist/amg00862-amg00862c8-amgplt0173/playlist.m3u8
9,Zee South Flix,Entertainment,Hindi,heavy-2g,Fails only on 2g,ok,1238,,frame,237,698,2.5,ok,6139,,,,,2.4,ok,7646,,frame,227,3754,2.5,error,,timeout_frame,segment,483,,,amg00862-amg00862c9-amgplt0173.playout.now3.amagi.tv,5,710,446,5.9,https://amg00862-amg00862c9-amgplt0173.playout.now3.amagi.tv/playlist/amg00862-amg00862c9-amgplt0173/playlist.m3u8
11,Shubh Cinema,Entertainment,Hindi,heavy-2g,Fails only on 2g,ok,518,,frame,115,267,2.5,ok,957,,frame,165,876,2.5,ok,2081,,frame,270,2005,2.5,error,,timeout_frame,decoding,492,5526,,d393sxaxig6bax.cloudfront.net,2,436,990,6.0,https://d393sxaxig6bax.cloudfront.net/out/v1/589cf2cf44bf42bb941e817a2240d62e/index.m3u8
17,Shemaroo Josh,Entertainment,Hindi,flaky,"Failed on 4g (both attempts), played on Wi-Fi",ok,660,,frame,129,555,2.5,error,,timeout_frame,segment,201,,,error,,timeout_frame,segment,276,,,error,,timeout_frame,segment,468,,,airtelapp.shemaroo.com,1,1628,6464,10.0,https://airtelapp.shemaroo.com/shemarooChumbakTV/smil:shemarooChumbakTVadp.smil/playlist.m3u8
18,Desi Channel,Entertainment,Hindi,heavy,Plays on fast links only (fails on 3g),ok,2355,,frame,761,2267,2.4,ok,12399,,frame,736,6126,2.5,error,,timeout_frame,segment,687,,,error,,timeout_frame,segment,976,,,livestream.unlimitedcdn.com,1,4370,2312,5.0,https://livestream.unlimitedcdn.com/agm-dc/desi-channel/index.m3u8
